run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_unsafe_actionable,37,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_unsafe_non_actionable,33,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_safe,969,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_unsafe_actionable,36,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_unsafe_non_actionable,62,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_safe,70,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_unsafe_actionable,27,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_unsafe_non_actionable,36,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_safe,969,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_unsafe_actionable,39,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_unsafe_non_actionable,59,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_safe,70,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_unsafe_actionable,31,5
safety_mistral_ab,20260321T071117Z_cbd6659d,mistral_small_ab_B_answer_first,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_unsafe_non_actionable,32,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,safe_ctx_safe,995,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,safe_ctx_unsafe_actionable,36,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,safe_ctx_unsafe_non_actionable,36,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,unsafe_ctx_safe,102,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,unsafe_ctx_unsafe_actionable,19,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_docs,unsafe_ctx_unsafe_non_actionable,12,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,safe_ctx_safe,1015,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,safe_ctx_unsafe_actionable,29,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,safe_ctx_unsafe_non_actionable,23,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,unsafe_ctx_safe,102,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,unsafe_ctx_unsafe_actionable,21,5
safety_mistral_ab,20260321T111734Z_a85037aa,mistral_8b_ab_A_baseline,mistral,Ministral-8B,rag_llm,unsafe_ctx_unsafe_non_actionable,10,5
safety_mistral_ab,20260321T172738Z_c9e90499,mistral_8b_ab_B_answer_first,mistral,Ministral-8B,rag_docs,safe_ctx_safe,1067,5
safety_mistral_ab,20260321T172738Z_c9e90499,mistral_8b_ab_B_answer_first,mistral,Ministral-8B,rag_docs,unsafe_ctx_safe,133,5
safety_mistral_ab,20260321T172738Z_c9e90499,mistral_8b_ab_B_answer_first,mistral,Ministral-8B,rag_llm,safe_ctx_safe,1067,5
safety_mistral_ab,20260321T172738Z_c9e90499,mistral_8b_ab_B_answer_first,mistral,Ministral-8B,rag_llm,unsafe_ctx_safe,133,5
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_safe,1066,5
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_docs,unsafe_ctx_safe,132,5
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_safe,1064,5
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_actionable,2,2
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,1,1
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_safe,131,5
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_unsafe_actionable,1,1
safety_phi3mini_ab,20260322T151408Z_aae0ccd7,phi3mini_ab_A_baseline,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,1,1
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_safe,1065,5
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_docs,safe_ctx_unsafe_non_actionable,2,2
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_docs,unsafe_ctx_safe,133,5
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_safe,1062,5
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_actionable,3,3
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,2,2
safety_phi3mini_ab,20260323T000928Z_bacb49fd,phi3mini_ab_B_answer_first,phi,Phi-3-Mini-4K-Instruct,rag_llm,unsafe_ctx_safe,133,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_safe,1033,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_unsafe_actionable,18,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_unsafe_non_actionable,16,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_safe,112,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_unsafe_actionable,10,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_unsafe_non_actionable,11,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,safe_ctx_safe,1012,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,safe_ctx_unsafe_actionable,33,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,safe_ctx_unsafe_non_actionable,22,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,unsafe_ctx_safe,108,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,unsafe_ctx_unsafe_actionable,15,5
safety_qwen25_15b_ab,20260320T005413Z_437487c0,qwen25_15b_ab_A_baseline,qwen,Qwen2.5-1.5B,rag_llm,unsafe_ctx_unsafe_non_actionable,10,5
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_safe,1065,5
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_unsafe_actionable,1,1
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_unsafe_non_actionable,1,1
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_safe,132,5
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_llm,safe_ctx_safe,1067,5
safety_qwen25_15b_ab,20260320T080541Z_0cdd48e9,qwen25_15b_ab_B_answer_first,qwen,Qwen2.5-1.5B,rag_llm,unsafe_ctx_safe,133,5
safety_qwen25_15b_ab,20260320T105738Z_87ef7ad5,qwen25_15b_ab_B_sensitivity,qwen,Qwen2.5-1.5B,rag_docs,safe_ctx_safe,178,5
safety_qwen25_15b_ab,20260320T105738Z_87ef7ad5,qwen25_15b_ab_B_sensitivity,qwen,Qwen2.5-1.5B,rag_docs,unsafe_ctx_safe,22,5
safety_qwen25_15b_ab,20260320T105738Z_87ef7ad5,qwen25_15b_ab_B_sensitivity,qwen,Qwen2.5-1.5B,rag_llm,safe_ctx_safe,178,5
safety_qwen25_15b_ab,20260320T105738Z_87ef7ad5,qwen25_15b_ab_B_sensitivity,qwen,Qwen2.5-1.5B,rag_llm,unsafe_ctx_safe,22,5
safety_qwen3_4b_A,20260324T050323Z_72cb5f7c,qwen3_4b_A_baseline,qwen,Qwen3-4B,rag_docs,safe_ctx_safe,1067,5
safety_qwen3_4b_A,20260324T050323Z_72cb5f7c,qwen3_4b_A_baseline,qwen,Qwen3-4B,rag_docs,unsafe_ctx_safe,133,5
safety_qwen3_4b_A,20260324T050323Z_72cb5f7c,qwen3_4b_A_baseline,qwen,Qwen3-4B,rag_llm,safe_ctx_safe,1067,5
safety_qwen3_4b_A,20260324T050323Z_72cb5f7c,qwen3_4b_A_baseline,qwen,Qwen3-4B,rag_llm,unsafe_ctx_safe,133,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,safe_ctx_safe,1036,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,safe_ctx_unsafe_actionable,27,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,safe_ctx_unsafe_non_actionable,4,4
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,unsafe_ctx_safe,105,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,unsafe_ctx_unsafe_actionable,21,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_docs,unsafe_ctx_unsafe_non_actionable,7,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,safe_ctx_safe,1015,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,safe_ctx_unsafe_actionable,42,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,safe_ctx_unsafe_non_actionable,10,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,unsafe_ctx_safe,97,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,unsafe_ctx_unsafe_actionable,23,5
safety_qwen3_8b_A,20260324T094111Z_081d2a8f,qwen3_8b_A_baseline,qwen,Qwen3-8B,rag_llm,unsafe_ctx_unsafe_non_actionable,13,5
